departement,participation,date
68,67.68,2012_T2_17h
69,70.62,2012_T2_17h
70,74.11,2012_T2_17h
71,71.74,2012_T2_17h
72,76.54,2012_T2_17h
73,74.18,2012_T2_17h
74,67.67,2012_T2_17h
75,64.04,2012_T2_17h
76,70.98,2012_T2_17h
77,74.61,2012_T2_17h
78,67.95,2012_T2_17h
79,75.14,2012_T2_17h
80,73.51,2012_T2_17h
81,72.78,2012_T2_17h
82,77.9,2012_T2_17h
83,73.02,2012_T2_17h
84,71.36,2012_T2_17h
85,74.92,2012_T2_17h
86,73.79,2012_T2_17h
87,76.5,2012_T2_17h
88,74.45,2012_T2_17h
89,72.65,2012_T2_17h
90,71.85,2012_T2_17h
91,66.93,2012_T2_17h
92,65.92,2012_T2_17h
93,64.8,2012_T2_17h
94,63.74,2012_T2_17h
95,62.17,2012_T2_17h
