Code du département,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,JOLY,LE PEN,SARKOZY,MÉLENCHON,POUTOU,ARTHAUD,CHEMINADE,BAYROU,DUPONT-AIGNAN,HOLLANDE
69,1100632,202748,897884,14233,883651,25611,133322,271922,94876,7412,4220,2264,91042,15203,237779
70,180646,30428,150218,3682,146536,2315,36807,36967,14125,1999,1126,407,11147,2982,38661
71,409987,77577,332410,7584,324826,5435,65054,84499,34548,3971,2048,802,28683,6588,93198
72,406858,72523,334335,8233,326102,6153,62516,86174,35143,4379,2452,749,29802,7012,91722
73,298785,50538,248247,5132,243115,8313,45993,69544,27875,2890,1213,664,24034,5120,57469
74,504674,95316,409358,7343,402015,14446,66583,136946,37117,4514,1793,1242,47547,9345,82482
75,1253322,248755,1004567,12093,992474,41495,61503,319482,110101,6644,2719,2272,92664,9959,345635
76,876165,167294,708871,13470,695401,11356,131416,174024,91759,8918,4918,1671,54446,12445,204448
77,843673,186397,657276,11478,645798,12684,126889,176116,71097,6584,2995,1654,55187,14055,178537
78,926619,196240,730379,11066,719313,17974,89491,246328,65520,5720,2505,2008,80848,12434,196485
79,270711,43596,227115,5400,221715,4480,30077,55462,22709,3550,1612,567,24395,4952,73911
80,409444,74295,335149,6012,329137,4031,78250,78680,36213,4222,2917,726,24066,6653,93379
81,283884,41824,242060,5346,236714,5064,44806,55099,28800,2962,1212,550,21724,3850,72647
82,175312,26302,149010,3166,145844,2867,32228,36666,16313,1769,698,367,12075,2564,40297
83,757180,147017,610163,9433,600730,11334,149187,209233,54553,5239,2094,1254,40004,9809,118023
84,388052,69617,318435,5546,312889,7062,84585,85898,34879,2981,1207,650,21070,4679,69878
85,488819,71718,417101,9717,407384,7652,61859,133985,34471,5893,2584,973,49402,9486,101079
86,303653,52557,251096,5406,245690,5335,40321,60188,27037,3321,1741,553,23565,5038,78591
87,264914,41025,223889,5950,217939,3925,35821,43225,31304,2641,1435,516,17189,3634,78249
88,285410,51334,234076,5174,228902,4026,55339,57964,22162,3573,1716,661,21516,5450,56495
89,245258,47235,198023,3547,194476,3426,46057,53719,19540,2477,1324,484,16472,4310,46667
90,94889,18382,76507,1584,74923,1516,17786,17891,8547,988,523,215,6630,1343,19484
91,767292,159764,607528,10277,597251,14027,90760,152079,73240,5591,2462,1456,55738,20392,181506
92,938538,193160,745378,11726,733652,20086,62447,256570,75911,5031,2187,1939,78397,9851,221233
93,740536,196517,544019,10104,533915,11781,72335,104010,90710,4936,2708,1259,32661,6978,206537
94,767571,172708,594863,9501,585362,15392,69399,155552,81950,4946,2217,1498,51892,9735,192781
95,704810,162343,542467,9752,532715,10907,83102,139863,63679,5109,2340,1325,44683,9049,172658
ZA,298108,141585,156523,11364,145159,2134,7486,33973,7806,1151,1335,441,6861,1237,82735
ZB,302903,144126,158777,12507,146270,2275,6960,38443,8600,1712,1442,560,8681,1563,76034
ZC,76874,37706,39168,1756,37412,843,3920,10174,2952,479,208,148,2329,416,15943
ZD,578409,199021,379388,15303,364085,7737,37549,65377,24503,3170,2190,1066,24853,3631,194009
ZM,77413,39731,37682,1699,35983,789,996,17536,944,299,192,175,1505,395,13152
ZN,165467,73839,91628,2369,89259,2336,10409,44302,2927,874,485,279,4579,833,22235
ZP,186642,94542,92100,2281,89819,3392,5151,40611,2492,532,510,378,5139,2484,29130
ZS,4923,2193,2730,99,2631,43,416,488,399,103,23,13,194,64,888
ZW,8940,2494,6446,39,6407,100,152,2414,76,42,48,29,410,43,3093
ZX,22685,14408,8277,244,8033,208,975,3504,473,85,44,28,473,92,2151
ZZ,1043586,635882,407704,4410,403294,21947,23995,153301,33503,2843,1137,1457,45867,5048,114196
