Code du département,Code du canton,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,HOLLANDE,SARKOZY
4,32,6207,1150,5057,298,4759,2475,2284
4,33,9230,1796,7434,414,7020,3276,3744
5,1,1858,233,1625,87,1538,733,805
5,2,5359,912,4447,259,4188,2531,1657
5,3,1826,279,1547,140,1407,790,617
5,4,328,30,298,25,273,169,104
5,5,3777,454,3323,271,3052,1461,1591
5,6,3736,711,3025,184,2841,1590,1251
5,7,3839,529,3310,223,3087,1506,1581
5,8,8448,1433,7015,416,6599,3282,3317
5,9,4048,550,3498,233,3265,1582,1683
5,10,719,112,607,232,375,134,241
5,11,4966,785,4181,204,3977,1733,2244
5,12,4641,643,3998,296,3702,1888,1814
5,13,3165,509,2656,151,2505,1064,1441
5,14,1574,246,1328,74,1254,517,737
5,15,1001,119,882,68,814,492,322
5,16,1404,196,1208,239,969,571,398
5,17,1029,107,922,56,866,444,422
5,18,6245,824,5421,332,5089,2374,2715
5,19,892,171,721,28,693,297,396
5,20,1635,222,1413,100,1313,648,665
5,21,1642,218,1424,96,1328,677,651
5,22,2174,304,1870,135,1735,952,783
5,23,4780,659,4121,279,3842,1729,2113
5,24,3456,466,2990,204,2786,1755,1031
5,25,7593,1508,6085,409,5676,3184,2492
5,26,5772,1179,4593,249,4344,2133,2211
5,27,4653,872,3781,272,3509,1947,1562
5,28,2839,498,2341,146,2195,1124,1071
5,29,6229,1332,4897,286,4611,2343,2268
5,30,7247,1369,5878,331,5547,2785,2762
6,1,26029,4866,21163,977,20186,6827,13359
6,2,25190,4018,21172,981,20191,7333,12858
6,3,7996,2487,5509,225,5284,1636,3648
6,4,2831,541,2290,151,2139,1160,979
6,5,28034,5307,22727,1307,21420,6751,14669
6,6,18798,3915,14883,473,14410,3540,10870
6,7,12844,2308,10536,673,9863,4116,5747
6,8,2155,321,1834,115,1719,653,1066
6,9,7410,1305,6105,394,5711,2227,3484
6,10,22702,4175,18527,914,17613,6520,11093
6,11,2978,515,2463,150,2313,928,1385
6,12,16199,2476,13723,831,12892,4521,8371
6,13,17607,3361,14246,789,13457,4630,8827
6,14,11303,2451,8852,398,8454,3696,4758
6,15,12549,2669,9880,409,9471,3745,5726
6,16,21711,4599,17112,1055,16057,6767,9290
6,17,11182,2684,8498,298,8200,2932,5268
6,18,2606,409,2197,162,2035,959,1076
6,19,2892,469,2423,172,2251,994,1257
6,20,3596,627,2969,195,2774,1192,1582
6,21,2680,463,2217,158,2059,840,1219
6,22,2388,424,1964,109,1855,584,1271
6,23,1700,219,1481,88,1393,460,933
6,24,2811,455,2356,137,2219,916,1303
6,25,16428,2572,13856,786,13070,4500,8570
6,26,3447,661,2786,182,2604,1099,1505
6,27,2247,371,1876,149,1727,729,998
6,28,21167,3566,17601,873,16728,5892,10836
6,29,2713,447,2266,149,2117,863,1254
6,30,16099,3035,13064,590,12474,3260,9214
6,31,2301,436,1865,102,1763,721,1042
6,32,18535,3958,14577,714,13863,5802,8061
6,33,17187,3675,13512,684,12828,5136,7692
6,34,20773,4439,16334,677,15657,4785,10872
6,35,30293,6260,24033,1101,22932,8020,14912
6,36,29467,5495,23972,1283,22689,7636,15053
6,37,14917,2825,12092,577,11515,3946,7569
6,38,12858,2874,9984,463,9521,3519,6002
6,39,21887,4068,17819,849,16970,6082,10888
6,40,21301,4030,17271,710,16561,5351,11210
6,41,19474,3748,15726,841,14885,5863,9022
6,42,12678,2744,9934,444,9490,4124,5366
6,43,17232,3800,13432,723,12709,5654,7055
6,44,13884,3436,10448,556,9892,4742,5150
6,45,29329,5710,23619,1199,22420,6882,15538
6,46,33723,6296,27427,1262,26165,8634,17531
6,47,20023,3896,16127,756,15371,5018,10353
6,48,18717,3837,14880,681,14199,4403,9796
6,49,20371,4133,16238,719,15519,4785,10734
6,50,12335,2455,9880,561,9319,3842,5477
6,51,15633,3730,11903,653,11250,4707,6543
6,52,14283,2693,11590,622,10968,3195,7773
7,1,13755,2798,10957,756,10201,5241,4960
7,2,2510,400,2110,158,1952,1224,728
7,3,14754,2766,11988,747,11241,6176,5065
7,4,12216,2101,10115,717,9398,4396,5002
7,5,1244,221,1023,63,960,422,538
7,6,5270,812,4458,341,4117,2085,2032
7,7,7630,1203,6427,477,5950,3326,2624
7,8,1939,267,1672,139,1533,630,903
7,9,8090,1292,6798,445,6353,3603,2750
7,10,5250,685,4565,258,4307,2226,2081
7,11,6079,952,5127,327,4800,2711,2089
7,12,1811,250,1561,127,1434,662,772
7,13,14420,2696,11724,816,10908,6472,4436
7,14,6025,1069,4956,384,4572,2730,1842
7,15,3353,569,2784,182,2602,1420,1182
7,16,866,119,747,49,698,297,401
7,17,3152,433,2719,192,2527,1124,1403
7,18,2877,388,2489,154,2335,1274,1061
7,19,20450,2696,17754,1074,16680,7879,8801
7,20,2690,378,2312,171,2141,1267,874
7,21,6337,892,5445,512,4933,2456,2477
7,22,8844,1331,7513,530,6983,3360,3623
7,23,6282,1009,5273,353,4920,2928,1992
7,24,18005,2755,15250,966,14284,7233,7051
7,25,928,125,803,34,769,531,238
7,26,7045,1124,5921,418,5503,3031,2472
7,27,7263,1061,6202,360,5842,3559,2283
7,28,3315,428,2887,154,2733,1598,1135
7,29,7897,1004,6893,492,6401,3685,2716
7,30,10801,2017,8784,624,8160,4557,3603
7,31,11361,1973,9388,695,8693,4883,3810
7,32,11607,2113,9494,749,8745,4606,4139
7,33,9285,1494,7791,511,7280,3934,3346
8,1,4138,705,3433,240,3193,1298,1895
8,2,2379,387,1992,127,1865,809,1056
8,3,1624,265,1359,101,1258,445,813
8,4,6973,1492,5481,346,5135,2553,2582
8,5,8519,1764,6755,383,6372,3176,3196
8,6,2966,495,2471,137,2334,976,1358
8,7,2061,370,1691,105,1586,650,936
8,8,2077,380,1697,135,1562,656,906
8,9,8044,1339,6705,497,6208,3202,3006
8,10,4820,1128,3692,220,3472,2059,1413
8,11,9795,2134,7661,370,7291,4346,2945
8,12,1735,274,1461,105,1356,546,810
8,13,3777,544,3233,201,3032,1156,1876
8,14,1711,244,1467,96,1371,398,973
8,15,9017,2106,6911,424,6487,3449,3038
8,16,8767,1996,6771,497,6274,3857,2417
8,17,2084,304,1780,132,1648,610,1038
8,18,4452,789,3663,237,3426,1773,1653
8,19,3735,647,3088,261,2827,1195,1632
8,20,2009,313,1696,136,1560,652,908
8,21,2944,490,2454,164,2290,1132,1158
8,22,6010,902,5108,405,4703,2079,2624
8,23,9593,2021,7572,522,7050,3397,3653
8,24,5709,1234,4475,301,4174,2049,2125
8,25,3186,522,2664,208,2456,982,1474
8,26,7271,1540,5731,335,5396,2827,2569
8,27,9031,2104,6927,396,6531,3647,2884
8,28,3137,539,2598,204,2394,1118,1276
8,29,2790,568,2222,163,2059,1029,1030
8,30,1096,169,927,86,841,358,483
8,31,4527,818,3709,278,3431,1704,1727
8,32,8861,2030,6831,382,6449,3534,2915
8,33,9291,2747,6544,402,6142,3870,2272
8,34,6649,1487,5162,356,4806,3098,1708
8,35,5288,1523,3765,225,3540,2322,1218
8,36,10650,2227,8423,564,7859,4605,3254
8,37,9887,1945,7942,567,7375,4074,3301
9,1,2488,361,2127,126,2001,1273,728
9,2,1853,251,1602,103,1499,1072,427
9,3,2446,339,2107,140,1967,1371,596
9,4,2985,499,2486,157,2329,1634,695
9,5,6619,1106,5513,281,5232,3547,1685
9,6,4799,647,4152,253,3899,2444,1455
9,7,10244,1864,8380,666,7714,4783,2931
9,8,3444,549,2895,179,2716,1893,823
9,9,1924,367,1557,76,1481,1031,450
9,10,10247,1518,8729,570,8159,5115,3044
9,11,2743,439,2304,128,2176,1485,691
9,12,7637,1436,6201,419,5782,3470,2312
9,13,492,55,437,24,413,287,126
9,14,1821,233,1588,126,1462,945,517
9,15,7750,1301,6449,381,6068,4046,2022
9,16,5901,872,5029,338,4691,2995,1696
9,17,8106,1256,6850,510,6340,3689,2651
9,18,6728,913,5815,346,5469,3768,1701
9,19,7810,1188,6622,406,6216,4099,2117
9,20,1423,176,1247,66,1181,895,286
9,21,8871,1179,7692,501,7191,4966,2225
9,22,10026,1475,8551,619,7932,4658,3274
10,1,3979,655,3324,223,3101,1395,1706
10,2,7095,1222,5873,462,5411,1995,3416
10,3,8335,1756,6579,485,6094,2452,3642
10,4,7299,1316,5983,435,5548,2084,3464
10,5,8087,1108,6979,473,6506,2651,3855
10,6,5703,946,4757,401,4356,1722,2634
10,7,3709,596,3113,257,2856,1036,1820
10,8,1766,331,1435,101,1334,449,885
10,9,4290,678,3612,294,3318,1438,1880
10,10,3487,572,2915,184,2731,822,1909
10,11,4535,732,3803,282,3521,1540,1981
10,12,7304,1063,6241,432,5809,2255,3554
10,13,5220,897,4323,349,3974,1416,2558
10,14,7242,1162,6080,531,5549,2159,3390
10,15,2538,378,2160,120,2040,641,1399
10,16,7858,1564,6294,468,5826,2363,3463
10,17,3781,611,3170,230,2940,1066,1874
10,18,2901,505,2396,163,2233,592,1641
10,19,1858,274,1584,101,1483,329,1154
10,20,6755,1303,5452,389,5063,2294,2769
10,21,2220,341,1879,137,1742,510,1232
10,22,8035,1760,6275,386,5889,2898,2991
10,23,10130,1826,8304,563,7741,3481,4260
10,24,7717,1704,6013,308,5705,2644,3061
10,25,3937,657,3280,250,3030,1200,1830
10,26,2893,521,2372,185,2187,853,1334
10,27,6907,1761,5146,405,4741,2846,1895
10,28,11673,2389,9284,603,8681,3988,4693
10,29,11148,2091,9057,633,8424,3813,4611
10,30,5072,1111,3961,210,3751,1782,1969
10,31,13305,2929,10376,588,9788,4436,5352
10,32,10882,2244,8638,528,8110,3709,4401
10,33,5924,1407,4517,237,4280,2690,1590
11,1,3947,501,3446,250,3196,1937,1259
11,2,6574,851,5723,394,5329,2915,2414
11,3,1554,277,1277,75,1202,803,399
11,4,1788,278,1510,127,1383,786,597
11,5,1733,282,1451,108,1343,737,606
11,6,10039,1462,8577,566,8011,4737,3274
11,7,14213,2235,11978,760,11218,6317,4901
11,8,10138,1794,8344,550,7794,4468,3326
11,9,7304,1088,6216,466,5750,3158,2592
11,10,11294,1787,9507,652,8855,4732,4123
11,11,2540,408,2132,161,1971,1238,733
11,12,8298,1032,7266,493,6773,3708,3065
11,13,3224,558,2666,207,2459,1614,845
11,14,20685,3222,17463,1223,16240,8780,7460
11,15,3182,453,2729,184,2545,1614,931
11,16,5097,715,4382,299,4083,2232,1851
11,17,12132,1691,10441,776,9665,5509,4156
11,18,2659,372,2287,133,2154,1507,647
11,19,16013,2529,13484,1099,12385,7399,4986
11,20,12037,1847,10190,665,9525,5508,4017
11,21,1891,274,1617,144,1473,929,544
11,22,5409,693,4716,339,4377,2421,1956
11,23,1305,194,1111,70,1041,729,312
11,24,14311,2760,11551,748,10803,5813,4990
11,25,9666,1481,8185,548,7637,4455,3182
11,26,6400,1185,5215,379,4836,2890,1946
11,27,2500,333,2167,157,2010,1192,818
11,28,2498,377,2121,189,1932,1059,873
11,29,1737,188,1549,103,1446,826,620
11,30,18224,3096,15128,1166,13962,6898,7064
11,31,1606,238,1368,97,1271,834,437
11,32,7194,1773,5421,324,5097,2514,2583
11,33,19169,3299,15870,1165,14705,8392,6313
11,34,11205,2832,8373,578,7795,4016,3779
11,35,6432,1195,5237,352,4885,2733,2152
12,1,7575,1176,6399,298,6101,4621,1480
12,2,2223,311,1912,130,1782,928,854
12,3,5728,651,5077,330,4747,2367,2380
12,4,2139,336,1803,142,1661,833,828
12,5,1499,183,1316,59,1257,573,684
12,6,6664,918,5746,401,5345,3479,1866
12,7,4630,549,4081,275,3806,1906,1900
12,8,2323,317,2006,141,1865,856,1009
12,9,1709,232,1477,97,1380,745,635
12,10,7636,1293,6343,371,5972,4015,1957
12,11,2093,315,1778,119,1659,728,931
12,12,5767,862,4905,267,4638,1877,2761
12,13,2529,343,2186,147,2039,756,1283
12,14,2000,224,1776,98,1678,420,1258
12,15,3727,429,3298,229,3069,1396,1673
12,16,7914,990,6924,438,6486,3831,2655
12,17,6696,1368,5328,379,4949,2992,1957
12,18,5606,707,4899,367,4532,2513,2019
12,19,2552,361,2191,109,2082,667,1415
12,20,3415,430,2985,201,2784,1581,1203
12,21,2769,375,2394,165,2229,1170,1059
12,22,4249,570,3679,245,3434,1955,1479
12,23,2057,248,1809,121,1688,937,751
12,24,5602,673,4929,343,4586,2161,2425
12,25,4313,607,3706,251,3455,1586,1869
12,26,3700,487,3213,226,2987,1703,1284
12,27,4223,464,3759,228,3531,1965,1566
12,28,9396,1512,7884,418,7466,3895,3571
12,29,9657,1305,8352,629,7723,4496,3227
12,30,2000,296,1704,105,1599,562,1037
12,31,1889,233,1656,116,1540,885,655
12,32,698,104,594,31,563,192,371
12,33,1858,249,1609,82,1527,500,1027
12,34,2789,434,2355,153,2202,877,1325
12,35,2665,355,2310,200,2110,1053,1057
12,36,2998,424,2574,194,2380,1245,1135
12,37,2193,271,1922,128,1794,673,1121
12,38,1748,263,1485,100,1385,780,605
12,39,7098,911,6187,388,5799,3005,2794
12,40,3394,446,2948,209,2739,1500,1239
12,41,1446,152,1294,77,1217,484,733
12,42,12710,2403,10307,638,9669,6019,3650
12,43,3820,473,3347,201,3146,1838,1308
12,44,14091,2083,12008,837,11171,6476,4695
12,45,14741,2156,12585,804,11781,6693,5088
12,46,11760,1620,10140,585,9555,5568,3987
13,1,40075,6608,33467,1398,32069,13770,18299
13,2,47740,9035,38705,1762,36943,16839,20104
13,3,31129,5238,25891,1622,24269,11713,12556
13,4,17947,3523,14424,850,13574,7421,6153
13,5,29773,5844,23929,1403,22526,11244,11282
13,6,24034,4793,19241,1301,17940,8666,9274
13,7,27251,4440,22811,1366,21445,7972,13473
13,8,30884,5592,25292,1409,23883,10531,13352
13,9,18425,3336,15089,985,14104,5746,8358
13,10,35126,6494,28632,1535,27097,12812,14285
13,11,23679,4823,18856,1421,17435,8727,8708
13,12,20754,3331,17423,969,16454,7393,9061
13,13,14585,3164,11421,428,10993,6776,4217
13,14,17436,3576,13860,503,13357,7478,5879
13,16,13879,3384,10495,396,10099,6811,3288
13,17,12887,3507,9380,404,8976,5999,2977
13,18,18991,3859,15132,614,14518,8602,5916
13,19,16846,3198,13648,635,13013,7365,5648
13,21,17758,4422,13336,629,12707,7599,5108
13,22,22135,3962,18173,880,17293,6731,10562
13,23,20414,4626,15788,864,14924,7120,7804
13,24,22392,3770,18622,593,18029,5865,12164
13,25,26297,4538,21759,1428,20331,10668,9663
13,26,18395,3156,15239,952,14287,5513,8774
13,27,14457,2567,11890,663,11227,5237,5990
13,28,6307,1088,5219,419,4800,2925,1875
13,29,35208,5516,29692,1734,27958,12717,15241
13,30,2676,330,2346,114,2232,580,1652
13,31,13353,2061,11292,698,10594,3871,6723
13,32,32609,6031,26578,1538,25040,10495,14545
13,33,13095,2671,10424,776,9648,3946,5702
13,34,24211,3585,20626,1143,19483,9101,10382
13,35,25677,4073,21604,1331,20273,7695,12578
13,36,26851,5376,21475,1499,19976,7855,12121
13,37,18037,3274,14763,627,14136,5965,8171
13,38,17732,5220,12512,611,11901,8398,3503
13,39,19696,4815,14881,693,14188,9413,4775
13,40,19178,4444,14734,725,14009,7792,6217
13,41,20559,3714,16845,975,15870,7119,8751
13,42,18136,3791,14345,817,13528,7053,6475
13,43,25165,5208,19957,1097,18860,9142,9718
13,44,23509,4051,19458,875,18583,8111,10472
13,45,19266,4642,14624,611,14013,8988,5025
13,46,24525,4461,20064,986,19078,8592,10486
13,47,23612,5235,18377,731,17646,9176,8470
13,48,37607,6452,31155,1840,29315,11783,17532
13,49,39185,7411,31774,2182,29592,15425,14167
13,50,18691,3809,14882,923,13959,8839,5120
13,51,36229,5951,30278,1826,28452,11356,17096
13,52,33107,6675,26432,1573,24859,10449,14410
13,53,24330,4917,19413,1133,18280,8995,9285
13,54,31920,5133,26787,1389,25398,9447,15951
13,55,19805,4200,15605,834,14771,7260,7511
13,56,21409,3351,18058,925,17133,6361,10772
13,57,17943,4778,13165,614,12551,7945,4606
13,58,22214,4077,18137,837,17300,6939,10361
13,59,19624,3652,15972,535,15437,6373,9064
14,1,6418,1165,5253,377,4876,2505,2371
14,2,8017,1390,6627,442,6185,3123,3062
14,3,14728,2504,12224,638,11586,6115,5471
14,4,6384,1062,5322,370,4952,2432,2520
14,5,5780,797,4983,251,4732,1687,3045
14,6,17649,2299,15350,874,14476,8567,5909
14,7,10836,1412,9424,618,8806,5214,3592
14,8,11261,1637,9624,386,9238,4796,4442
14,9,15614,2753,12861,685,12176,7527,4649
14,10,3934,599,3335,184,3151,1235,1916
14,11,4575,818,3757,230,3527,1719,1808
14,12,5873,987,4886,354,4532,2447,2085
14,13,16286,2039,14247,745,13502,7081,6421
14,14,19198,3025,16173,756,15417,8249,7168
14,15,11740,1948,9792,509,9283,4438,4845
14,16,16292,1872,14420,835,13585,7464,6121
14,17,8347,1226,7121,469,6652,3875,2777
14,18,6529,1335,5194,310,4884,2792,2092
14,19,12509,2387,10122,538,9584,4382,5202
14,20,7996,1576,6420,363,6057,2437,3620
14,21,9795,1536,8259,455,7804,3242,4562
14,22,7620,1833,5787,324,5463,3070,2393
14,23,5042,782,4260,253,4007,1684,2323
14,24,7637,1273,6364,407,5957,3301,2656
14,25,3915,633,3282,199,3083,1533,1550
14,26,7087,1318,5769,387,5382,2338,3044
14,27,7936,1311,6625,336,6289,2320,3969
14,28,9583,1344,8239,423,7816,3708,4108
14,29,5755,1255,4500,230,4270,1992,2278
14,30,5456,899,4557,282,4275,1967,2308
14,31,7392,1125,6267,388,5879,3192,2687
14,32,12269,1604,10665,618,10047,5382,4665
14,33,5956,887,5069,300,4769,2067,2702
14,34,17623,2617,15006,846,14160,8435,5725
14,35,17055,3320,13735,569,13166,4366,8800
14,36,4411,677,3734,296,3438,1699,1739
14,37,7764,1127,6637,450,6187,3254,2933
14,38,13335,2242,11093,651,10442,5703,4739
14,39,11398,1862,9536,413,9123,5094,4029
14,40,6758,1274,5484,282,5202,3350,1852
14,41,10149,2132,8017,349,7668,5578,2090
14,42,8345,1454,6891,336,6555,4139,2416
14,43,9618,1724,7894,436,7458,4985,2473
14,44,11679,2041,9638,426,9212,5601,3611
14,45,7992,1758,6234,301,5933,3999,1934
14,46,14522,2623,11899,621,11278,7066,4212
14,47,16534,2813,13721,734,12987,7086,5901
14,48,18422,3014,15408,803,14605,7900,6705
14,49,9666,1888,7778,486,7292,3408,3884
15,1,2242,447,1795,112,1683,771,912
15,2,5833,1032,4801,225,4576,2785,1791
15,3,8286,1209,7077,400,6677,4021,2656
15,4,2460,403,2057,120,1937,1138,799
15,5,2026,264,1762,94,1668,498,1170
15,6,2447,466,1981,118,1863,877,986
15,7,3673,512,3161,184,2977,1570,1407
15,8,3441,497,2944,201,2743,1216,1527
15,9,6019,1022,4997,334,4663,2514,2149
15,10,5069,693,4376,313,4063,2193,1870
15,11,3921,535,3386,213,3173,1341,1832
15,12,5153,751,4402,240,4162,1875,2287
15,13,2196,320,1876,91,1785,557,1228
15,14,2957,481,2476,168,2308,1247,1061
15,15,4159,824,3335,177,3158,1696,1462
15,16,2655,451,2204,125,2079,888,1191
15,17,5103,859,4244,250,3994,2470,1524
15,18,2187,397,1790,119,1671,741,930
15,19,6006,870,5136,345,4791,2203,2588
15,20,6562,1008,5554,379,5175,2310,2865
15,21,4954,648,4306,317,3989,2099,1890
15,22,3044,489,2555,170,2385,1103,1282
15,23,4630,651,3979,229,3750,1734,2016
15,24,6228,1328,4900,275,4625,2913,1712
15,25,7564,1251,6313,381,5932,3258,2674
15,26,7252,1027,6225,395,5830,3257,2573
15,27,4864,643,4221,238,3983,2268,1715
16,1,3815,558,3257,190,3067,1678,1389
16,2,8223,1957,6266,311,5955,3550,2405
16,3,8520,1997,6523,348,6175,3735,2440
16,4,2387,375,2012,149,1863,1036,827
16,5,3260,530,2730,210,2520,1380,1140
16,6,7540,1288,6252,422,5830,3126,2704
16,7,6476,1046,5430,412,5018,2896,2122
16,8,1772,311,1461,94,1367,816,551
16,9,6061,1004,5057,344,4713,3140,1573
16,10,3552,719,2833,177,2656,1479,1177
16,11,2069,376,1693,89,1604,1039,565
16,12,6158,1056,5102,363,4739,2505,2234
16,13,11955,2346,9609,588,9021,4864,4157
16,14,3469,486,2983,213,2770,1796,974
16,15,4774,740,4034,275,3759,2311,1448
16,16,9624,1510,8114,554,7560,4284,3276
16,17,9760,1702,8058,497,7561,4232,3329
16,18,6698,1064,5634,400,5234,3106,2128
16,19,5591,776,4815,373,4442,2573,1869
16,20,3074,516,2558,176,2382,1424,958
16,21,3709,615,3094,205,2889,1619,1270
16,22,14443,2218,12225,799,11426,7029,4397
16,23,5839,937,4902,319,4583,2723,1860
