Code du département,Code du canton,Inscrits,Abstentions,Votants,Blancs et nuls,Exprimés,JOLY,LE PEN,SARKOZY,MÉLENCHON,POUTOU,ARTHAUD,CHEMINADE,BAYROU,DUPONT-AIGNAN,HOLLANDE
3,2,4865,748,4117,91,4026,76,787,1050,643,51,28,9,323,92,967
3,3,4190,633,3557,107,3450,62,629,961,435,50,40,10,315,82,866
3,4,5616,894,4722,131,4591,57,850,1113,555,64,33,8,409,85,1417
3,5,6002,1097,4905,112,4793,54,770,817,827,64,51,10,333,79,1788
3,6,9468,1482,7986,184,7802,131,1562,1898,943,84,48,21,705,148,2262
3,7,6735,1250,5485,150,5335,60,1020,1240,603,63,52,12,440,100,1745
3,8,3897,621,3276,85,3191,14,679,700,358,42,38,6,288,82,984
3,9,3623,610,3013,74,2939,60,523,757,416,42,28,9,247,52,805
3,10,15563,2186,13377,324,13053,224,2687,3718,1232,147,74,25,1176,263,3507
3,11,7486,1358,6128,134,5994,92,1163,1484,702,83,49,11,566,113,1731
3,12,6870,938,5932,160,5772,100,1056,1251,934,86,33,12,536,113,1651
3,13,6064,1015,5049,125,4924,75,1022,883,778,70,48,10,434,95,1509
3,14,3458,572,2886,93,2793,34,598,696,343,35,21,5,235,67,759
3,15,7012,1158,5854,162,5692,77,1269,1342,618,77,56,8,530,140,1575
3,16,3643,631,3012,66,2946,31,627,719,491,42,21,3,204,66,742
3,17,4766,682,4084,120,3964,66,735,967,516,60,31,13,438,82,1056
3,18,3762,656,3106,80,3026,84,660,709,333,62,20,6,337,72,743
3,19,3815,540,3275,86,3189,50,543,717,695,45,28,7,284,63,757
3,20,10917,2312,8605,218,8387,121,1261,2060,1258,103,63,13,759,134,2615
3,21,9181,2092,7089,151,6938,98,1135,1475,1070,79,56,15,506,106,2398
3,22,5956,934,5022,110,4912,53,971,1032,935,73,41,14,462,101,1230
3,23,9745,2338,7407,150,7257,112,1109,1882,837,59,39,23,633,133,2430
3,24,11043,2149,8894,181,8713,126,1482,2048,1112,106,47,8,780,174,2830
3,25,3964,603,3361,92,3269,33,631,759,434,37,28,11,252,92,992
3,26,8445,1338,7107,175,6932,111,1431,1739,866,119,61,21,570,145,1869
3,27,5038,724,4314,91,4223,148,706,892,746,51,25,11,407,87,1150
3,28,10642,1596,9046,217,8829,103,1977,1880,1105,136,83,25,675,196,2649
3,29,9038,2101,6937,128,6809,119,1243,2445,513,58,33,15,608,131,1644
3,30,8562,2089,6473,113,6360,117,1012,2114,582,66,27,14,629,131,1668
3,31,7435,1721,5714,138,5576,55,966,1199,934,81,39,11,366,83,1842
3,32,12202,2373,9829,236,9593,165,1354,2405,1421,110,52,24,853,198,3011
3,33,12670,1912,10758,232,10526,190,1565,2250,1447,117,63,24,878,185,3807
3,34,8932,1675,7257,184,7073,59,1252,1323,1200,75,42,15,493,120,2494
3,35,10847,1550,9297,240,9057,129,1865,2151,1139,98,58,22,839,169,2587
4,2,1893,304,1589,31,1558,47,382,414,216,26,11,2,128,25,307
4,3,2463,339,2124,31,2093,76,396,533,332,25,13,4,146,40,528
4,4,5436,998,4438,110,4328,151,750,1446,566,69,25,14,423,90,794
4,5,1228,199,1029,16,1013,39,256,246,156,14,7,1,59,17,218
4,6,2040,300,1740,32,1708,52,349,452,214,31,10,4,126,32,438
4,7,2023,337,1686,29,1657,50,342,535,245,27,7,2,106,23,320
4,8,6910,1482,5428,117,5311,189,1055,1283,695,75,27,20,394,81,1492
4,9,1228,174,1054,17,1037,28,253,294,137,14,5,1,66,15,224
4,10,10741,1793,8948,144,8804,325,1695,2124,1514,130,41,28,647,144,2156
4,11,1624,207,1417,34,1383,55,278,291,220,21,6,7,96,23,386
4,12,1216,223,993,13,980,36,185,239,136,22,3,3,85,25,246
4,13,8903,1641,7262,151,7111,203,1400,1895,952,67,29,20,561,117,1867
4,14,8321,1379,6942,148,6794,125,1641,1641,1014,95,45,18,471,143,1601
4,15,1784,237,1547,38,1509,48,319,329,268,21,5,2,74,24,419
4,16,2141,289,1852,39,1813,67,422,447,240,22,7,1,129,50,428
4,17,1029,166,863,9,854,39,117,236,163,28,7,1,56,14,193
4,18,1182,171,1011,29,982,62,214,240,145,14,3,4,58,15,227
4,19,3066,513,2553,63,2490,65,615,565,356,29,11,4,171,47,627
4,20,2939,494,2445,35,2410,99,453,605,485,36,12,2,173,40,505
4,21,4294,659,3635,84,3551,88,763,985,518,57,15,12,207,65,841
4,22,1432,196,1236,21,1215,24,272,337,165,23,11,2,92,27,262
4,23,2548,328,2220,35,2185,76,461,530,427,25,10,10,144,40,462
4,26,2545,446,2099,45,2054,57,382,552,306,43,13,6,171,48,476
4,27,6763,1128,5635,137,5498,128,1096,1436,752,77,23,17,469,111,1389
4,28,995,138,857,16,841,33,167,191,148,12,6,2,73,21,188
4,29,5226,872,4354,88,4266,115,1016,1205,555,54,15,9,302,88,907
4,30,8814,1273,7541,175,7366,155,1554,1554,1272,97,42,23,513,137,2019
4,31,9701,1637,8064,185,7879,229,1573,1757,1260,110,35,20,639,125,2131
4,32,6219,1188,5031,103,4928,104,1140,1172,907,48,9,17,297,76,1158
4,33,9229,1923,7306,136,7170,168,1329,2134,905,82,34,27,607,142,1742
5,1,1858,279,1579,35,1544,62,127,519,269,27,12,3,166,28,331
5,2,5354,969,4385,87,4298,230,604,926,762,92,31,10,385,80,1178
5,3,1825,290,1535,38,1497,49,317,309,248,21,15,1,131,20,386
5,4,329,35,294,4,290,10,52,61,62,4,3,0,16,6,76
5,5,3778,438,3340,77,3263,102,750,762,421,29,11,3,338,93,754
5,6,3734,740,2994,67,2927,161,445,661,498,44,8,10,283,53,764
5,7,3839,531,3308,57,3251,89,697,859,409,46,13,7,329,65,737
5,8,8446,1605,6841,141,6700,289,1063,1948,915,96,42,19,610,141,1577
5,9,4048,562,3486,62,3424,105,683,874,424,36,14,5,387,82,814
5,10,719,132,587,10,577,42,73,203,67,9,6,3,56,8,110
5,11,4967,809,4158,95,4063,150,728,1272,521,65,22,11,375,87,832
5,12,4642,700,3942,96,3846,67,848,898,579,53,23,10,343,93,932
5,13,3165,504,2661,63,2598,122,424,876,294,36,12,4,223,64,543
5,14,1574,219,1355,26,1329,34,250,407,162,23,5,3,149,52,244
5,15,1001,117,884,8,876,31,144,158,165,15,8,1,88,23,243
5,16,1404,193,1211,22,1189,69,237,241,236,11,5,5,103,16,266
5,17,1029,131,898,12,886,29,175,202,145,10,7,3,82,23,210
5,18,6245,874,5371,111,5260,162,965,1621,571,77,28,19,484,103,1230
5,19,892,159,733,11,722,18,143,207,84,11,2,0,104,10,143
5,20,1615,236,1379,29,1350,34,276,351,191,8,9,5,111,21,344
5,21,1642,247,1395,26,1369,64,228,357,199,26,9,1,157,34,294
5,22,2175,343,1832,44,1788,79,320,434,315,22,14,5,134,40,425
5,23,4779,602,4177,92,4085,157,842,1131,458,50,24,8,452,105,858
5,24,3454,484,2970,56,2914,103,448,515,652,33,39,6,276,67,775
5,25,7590,1555,6035,149,5886,265,934,1420,954,105,41,16,491,109,1551
5,26,5773,1227,4546,84,4462,175,662,1288,562,47,17,13,545,62,1091
5,27,4666,930,3736,69,3667,117,622,824,507,31,18,10,421,61,1056
5,28,2843,539,2304,39,2265,77,335,617,270,21,9,10,255,54,617
5,29,6231,1376,4855,113,4742,102,872,1250,550,51,22,7,491,72,1325
5,30,7248,1420,5828,119,5709,153,1095,1464,685,53,19,14,574,110,1542
6,1,26000,5182,20818,307,20511,525,3954,8492,1551,145,57,45,1572,329,3841
6,2,25212,4292,20920,335,20585,769,3585,7971,1688,154,58,58,1935,360,4007
6,3,7994,2734,5260,73,5187,83,1293,2054,396,36,21,13,285,84,922
6,4,2831,584,2247,40,2207,61,528,466,387,28,13,4,124,49,547
6,5,28021,5432,22589,433,22156,423,5965,8492,1429,128,66,33,1430,330,3860
6,6,18784,4256,14528,143,14385,228,2469,7886,668,44,19,20,769,180,2102
6,7,12847,2350,10497,185,10312,164,3330,2566,1708,75,26,25,509,159,1750
6,8,2155,340,1815,26,1789,59,505,557,181,18,14,5,109,32,309
6,9,7405,1227,6178,100,6078,116,2050,1633,831,44,23,11,321,84,965
6,10,22707,4265,18442,292,18150,425,4491,6167,1603,159,53,38,1390,314,3510
6,11,2978,572,2406,32,2374,57,578,773,238,23,5,6,175,43,476
6,12,16195,2479,13716,203,13513,265,4138,4324,1292,100,44,32,853,228,2237
6,13,17604,3633,13971,222,13749,275,3496,5073,1071,121,55,33,816,288,2521
6,14,11293,2618,8675,126,8549,271,1708,2840,1012,58,27,19,526,122,1966
6,15,12538,2840,9698,129,9569,246,1639,3638,873,56,26,30,734,170,2157
6,16,21702,4627,17075,287,16788,300,4756,4829,1965,130,42,27,894,232,3613
6,17,11176,2843,8333,114,8219,202,1334,3630,602,25,24,20,516,84,1782
6,18,2608,412,2196,43,2153,55,560,570,345,24,7,9,124,42,417
6,19,2891,457,2434,44,2390,51,609,714,311,21,6,2,154,48,474
6,20,3603,661,2942,56,2886,62,852,759,344,27,16,8,171,52,595
6,21,2679,438,2241,30,2211,79,627,636,214,22,8,7,157,47,414
6,22,2403,459,1944,29,1915,43,398,798,169,22,9,3,139,40,294
6,23,1700,224,1476,19,1457,22,312,632,116,8,1,0,84,27,255
6,24,2815,475,2340,25,2315,70,578,724,236,23,8,5,150,45,476
6,25,16423,2647,13776,219,13557,348,3406,4853,1090,98,37,26,1095,262,2342
6,26,3442,653,2789,54,2735,72,735,776,312,27,13,4,195,62,539
6,27,2247,383,1864,22,1842,29,563,524,191,13,9,4,102,28,379
6,28,21158,3755,17403,283,17120,502,3508,6390,1433,124,42,34,1462,327,3298
6,29,2717,459,2258,38,2220,57,678,618,286,22,9,1,106,47,396
6,30,16080,3350,12730,186,12544,244,3050,5642,739,81,25,26,790,201,1746
6,31,2300,492,1808,34,1774,78,417,583,178,22,7,3,105,50,331
6,32,18532,4063,14469,219,14250,311,3122,4736,1411,105,49,27,949,184,3356
6,33,17179,3874,13305,209,13096,262,2858,4634,1201,81,44,33,853,166,2964
6,34,20770,4726,16044,208,15836,283,3301,7058,991,92,45,29,1060,204,2773
6,35,30295,6598,23697,401,23296,466,5040,9243,1885,171,55,37,1550,355,4494
6,36,29464,5738,23726,399,23327,371,5916,9154,1673,174,51,38,1333,349,4268
6,37,14911,2884,12027,157,11870,249,2630,4642,830,65,19,27,840,181,2387
6,38,12851,3131,9720,160,9560,198,1831,3865,802,49,25,17,645,133,1995
6,39,21884,4230,17654,262,17392,335,4307,6301,1474,106,36,40,1163,276,3354
6,40,21284,4307,16977,199,16778,295,3760,6927,1067,88,26,38,1164,253,3160
6,41,19467,3899,15568,226,15342,281,4022,4842,1376,94,46,32,1086,220,3343
6,42,12674,2995,9679,145,9534,141,2401,3005,982,71,23,27,432,98,2354
6,43,17230,3842,13388,192,13196,192,3974,3291,1697,88,43,23,666,160,3062
6,44,13883,3602,10281,204,10077,115,2731,2565,1027,77,34,17,419,128,2964
6,45,29319,5970,23349,386,22963,510,5166,9494,1518,151,38,45,1703,435,3903
6,46,33707,6516,27191,402,26789,661,5667,10890,1892,208,62,70,1993,455,4891
6,47,20005,4201,15804,233,15571,320,3127,6586,1097,94,37,37,1189,250,2834
6,48,18711,4010,14701,165,14536,262,3659,5937,936,79,27,27,912,226,2471
6,49,20364,4444,15920,234,15686,316,3380,6865,1019,93,40,31,1026,215,2701
6,50,12334,2561,9773,180,9593,222,2591,2755,1149,106,37,24,594,164,1951
6,51,15644,3766,11878,160,11718,331,2679,3681,1254,97,29,35,895,182,2535
6,52,14272,2887,11385,193,11192,254,2708,4657,753,81,40,33,716,241,1709
7,1,13757,2668,11089,238,10851,226,2126,2795,1360,156,80,27,1082,227,2772
7,2,2508,385,2123,41,2082,99,404,314,490,31,17,3,164,29,531
7,3,14754,2787,11967,231,11736,323,2093,2955,1672,138,57,31,1050,198,3219
7,4,12083,1878,10205,173,10032,204,2726,2378,1228,100,52,29,761,205,2349
7,5,1249,226,1023,47,976,29,230,264,105,6,4,3,99,22,214
7,6,5269,861,4408,120,4288,96,728,1171,509,70,37,20,503,99,1055
7,7,7620,1112,6508,132,6376,130,1496,1288,948,112,35,15,517,142,1693
7,8,1939,311,1628,34,1594,17,405,488,129,11,5,6,189,22,322
7,9,8075,1244,6831,134,6697,278,1061,1661,1104,101,37,15,541,99,1800
7,10,5254,702,4552,84,4468,138,777,1205,567,63,39,12,465,95,1107
7,11,6087,993,5094,84,5010,208,870,1106,878,102,33,10,400,86,1317
7,12,1812,303,1509,25,1484,47,357,405,166,14,5,4,148,36,302
7,13,14422,2551,11871,245,11626,385,1978,2414,1746,145,61,28,1035,228,3606
7,14,6025,1006,5019,107,4912,85,1169,877,932,59,24,15,330,101,1320
7,15,3353,575,2778,77,2701,50,424,685,308,53,27,14,281,50,809
7,16,865,132,733,12,721,17,141,227,60,10,1,2,113,5,145
7,17,3154,429,2725,57,2668,86,543,754,307,42,17,4,310,64,541
7,18,2877,438,2439,57,2382,61,374,610,334,35,16,4,278,39,631
7,19,20543,2688,17855,341,17514,481,3161,5122,1695,182,88,54,1897,357,4477
7,20,2691,419,2272,50,2222,85,366,515,342,31,17,5,165,48,648
7,21,6339,791,5548,126,5422,131,1310,1229,704,87,52,17,610,116,1166
7,22,8855,1239,7616,170,7446,154,1651,1900,833,85,67,18,781,181,1776
7,23,6286,972,5314,98,5216,187,1047,1121,956,81,22,14,366,75,1347
7,24,18005,2730,15275,272,15003,360,3049,3819,1796,195,75,36,1522,307,3844
7,25,930,144,786,7,779,53,99,121,196,13,4,0,63,11,219
7,26,7046,1142,5904,111,5793,183,1135,1354,1008,81,43,8,405,100,1476
7,27,7282,1089,6193,111,6082,283,906,1309,1235,82,44,20,435,87,1681
7,28,3313,456,2857,57,2800,102,404,683,450,56,25,6,214,62,798
7,29,7896,990,6906,140,6766,200,1351,1394,1174,99,36,5,589,133,1785
7,30,10802,1920,8882,148,8734,191,2198,1688,1304,98,39,22,647,162,2385
7,31,11366,1880,9486,198,9288,233,1964,1928,1345,142,71,22,842,187,2554
7,32,11603,1993,9610,192,9418,284,2075,2052,1191,180,79,33,1010,202,2312
7,33,9291,1506,7785,154,7631,215,1598,1855,1175,90,48,19,561,115,1955
8,1,4138,650,3488,58,3430,36,923,1092,244,52,30,9,297,68,679
8,2,2379,380,1999,28,1971,26,541,557,146,28,25,9,179,38,422
8,3,1624,288,1336,25,1311,21,300,480,68,25,9,2,139,24,243
8,4,6965,1522,5443,86,5357,58,1398,1328,473,72,42,16,459,95,1416
8,5,8524,1769,6755,91,6664,132,1117,1930,583,73,39,15,667,97,2011
8,6,2971,506,2465,41,2424,23,586,791,182,33,19,3,220,53,514
8,7,2060,375,1685,19,1666,18,481,536,91,12,12,4,99,36,377
8,8,2077,368,1709,34,1675,25,401,514,149,23,19,5,162,43,334
8,9,8041,1278,6763,91,6672,78,1709,1560,694,84,56,10,509,128,1844
8,10,4825,1182,3643,56,3587,22,799,808,382,52,20,15,151,43,1295
8,11,9799,2166,7633,107,7526,68,1580,1536,830,94,47,18,511,151,2691
8,12,1735,277,1458,23,1435,29,348,451,80,24,11,6,137,36,313
8,13,3777,520,3257,48,3209,41,725,1122,180,26,21,5,384,62,643
8,14,1711,225,1486,22,1464,6,346,601,63,18,15,4,163,33,215
8,15,9020,2159,6861,110,6751,116,1515,1636,685,67,52,16,478,144,2042
8,16,8768,1915,6853,119,6734,84,1907,1193,877,87,62,22,302,80,2120
8,17,2084,306,1778,27,1751,14,524,541,125,16,11,4,159,49,308
8,18,4452,777,3675,61,3614,29,889,861,331,63,46,4,299,88,1004
8,19,3735,623,3112,52,3060,48,928,839,215,53,35,11,290,68,573
8,20,2008,304,1704,25,1679,24,484,454,112,19,5,9,165,46,361
8,21,2943,492,2451,37,2414,27,612,563,244,29,20,3,244,60,612
8,22,6009,879,5130,88,5042,48,1513,1318,386,49,37,15,363,89,1224
8,23,9558,1980,7578,138,7440,84,1766,2103,592,101,48,21,663,164,1898
8,24,5709,1224,4485,70,4415,35,1269,1129,322,58,32,10,271,100,1189
8,25,3182,535,2647,44,2603,35,780,735,171,31,23,6,213,62,547
8,26,7268,1586,5682,88,5594,78,1205,1445,505,55,38,19,411,101,1737
8,27,9027,2043,6984,113,6871,71,1616,1585,654,88,59,16,455,118,2209
8,28,3136,505,2631,55,2576,35,719,650,208,35,23,7,236,44,619
8,29,2792,590,2202,38,2164,33,685,480,200,24,18,4,129,37,554
8,30,1095,142,953,13,940,23,247,267,57,7,10,4,101,24,200
8,31,4529,838,3691,58,3633,50,924,933,265,58,33,4,291,72,1003
8,32,8865,2116,6749,115,6634,103,1303,1650,641,63,45,11,500,93,2225
8,33,9294,2809,6485,92,6393,77,1464,1046,707,110,41,12,373,89,2474
8,34,6652,1454,5198,89,5109,57,1309,783,630,75,32,13,274,69,1867
8,35,5290,1557,3733,74,3659,37,783,590,480,50,20,2,158,59,1480
8,36,10650,2219,8431,135,8296,97,2030,1703,873,124,66,13,532,118,2740
8,37,9887,1949,7938,110,7828,80,1902,1714,815,103,64,19,567,106,2458
9,1,2487,398,2089,33,2056,48,341,405,322,31,11,2,124,38,734
9,2,1853,291,1562,39,1523,120,139,257,331,32,7,6,130,14,487
9,3,2446,381,2065,34,2031,27,347,306,325,32,17,7,124,35,811
9,4,2985,517,2468,38,2430,94,333,397,496,30,24,8,164,27,857
9,5,6616,1130,5486,79,5407,164,646,1002,907,64,28,10,379,74,2133
9,6,4804,615,4189,90,4099,174,698,794,739,38,30,8,273,52,1293
9,7,10245,1877,8368,188,8180,161,1822,1623,1232,89,48,19,423,113,2650
9,8,3445,561,2884,59,2825,133,374,445,573,39,9,6,185,52,1009
9,9,1926,432,1494,21,1473,101,178,226,380,43,16,2,81,20,426
9,10,10249,1568,8681,176,8505,211,1478,1704,1536,150,46,17,590,137,2636
9,11,2747,461,2286,23,2263,106,340,383,422,32,2,9,120,32,817
9,12,7637,1469,6168,132,6036,123,1151,1312,897,74,20,20,387,89,1963
9,13,492,80,412,7,405,8,53,67,65,5,0,2,15,5,185
9,14,1821,257,1564,40,1524,74,235,280,292,20,13,4,127,22,457
9,15,7752,1398,6354,135,6219,218,814,1156,1064,104,31,16,434,106,2276
9,16,5909,894,5015,79,4936,147,806,963,770,81,32,13,381,82,1661
9,17,8105,1248,6857,128,6729,129,1407,1487,888,89,39,7,485,115,2083
9,18,6727,1027,5700,87,5613,142,832,921,980,90,37,11,321,70,2209
9,19,7810,1121,6689,118,6571,137,1148,1129,1248,96,45,15,463,106,2184
9,20,1423,206,1217,12,1205,27,148,150,249,12,6,3,72,16,522
9,21,8870,1175,7695,148,7547,248,1050,1242,1311,133,39,19,532,90,2883
9,22,10021,1396,8625,154,8471,150,1785,1730,1170,112,28,17,601,151,2727
10,1,3980,635,3345,55,3290,46,848,918,316,32,17,8,267,77,761
10,2,7106,1195,5911,106,5805,59,1758,1804,329,70,37,9,504,158,1077
10,3,8340,1771,6569,142,6427,74,1750,2013,568,72,37,17,439,145,1312
10,4,7300,1406,5894,108,5786,74,1561,1973,410,54,35,10,418,126,1125
10,5,8090,1067,7023,110,6913,112,1787,2111,516,85,54,15,612,153,1468
10,6,5703,955,4748,95,4653,59,1331,1418,341,47,42,11,381,95,928
10,7,3709,603,3106,54,3052,36,886,1030,233,41,13,7,243,62,501
10,8,1766,326,1440,23,1417,13,432,462,83,13,13,2,130,37,232
10,9,4289,687,3602,54,3548,58,1009,1027,285,41,29,15,268,85,731
10,10,3489,600,2889,66,2823,42,636,1197,156,21,11,4,232,68,456
10,11,4535,727,3808,54,3754,69,943,1077,305,36,27,12,334,79,872
10,12,7289,985,6304,124,6180,82,1823,1848,432,61,38,15,544,124,1213
10,13,5219,842,4377,77,4300,48,1157,1433,330,48,28,16,365,126,749
10,14,7237,1049,6188,119,6069,59,1924,1753,400,68,50,15,479,138,1183
10,15,2540,393,2147,36,2111,26,589,801,107,16,12,13,147,56,344
10,16,7857,1533,6324,653,5671,63,1588,1701,468,52,26,13,464,138,1158
10,17,3781,581,3200,65,3135,45,904,981,195,27,24,7,299,67,586
10,18,2901,509,2392,43,2349,20,720,896,104,34,10,11,200,60,294
10,19,1862,317,1545,35,1510,11,388,701,56,6,5,5,117,40,181
10,20,6756,1310,5446,93,5353,63,1519,1452,538,53,29,14,371,119,1195
10,21,2229,343,1886,39,1847,13,547,672,97,17,16,7,175,50,253
